일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,74501,1464,372882,142,43,2692197
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,57143,1576,254765,151,44,2595379
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,81365,2503,418912,232,79,4207251
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,81419,2547,454294,382,95,5622206
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,77188,1544,378327,157,31,1562454
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,63394,1439,316168,212,62,3766568
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,88942,2651,500324,344,111,7252739
2025-01-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,56828,1978,359608,205,60,3292792
2025-01-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,42768,1283,243183,171,72,3602255
2025-01-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,31588,1190,194032,122,40,2179781
2025-01-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,29159,1155,172031,127,49,3019696
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,84253,1807,463500,131,63,4708190
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,79578,2036,486459,186,50,2910286
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,60809,1116,385020,127,37,2334744
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,67730,1743,337507,191,71,3891289
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,89174,2429,478313,220,66,3643008
2025-01-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,51053,1376,250347,153,72,3639127
2025-01-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,66218,1118,275075,91,24,979712
2025-01-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,59715,1068,299375,56,11,486377
2025-01-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,50039,702,189131,61,13,729543
2025-01-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,67273,1520,321956,93,23,1001188
2025-01-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,45103,950,186023,69,21,1308093
2025-01-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,67264,1268,287277,112,20,1048405
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,11782,223,51366,13,5,288940
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,14986,368,63515,25,10,778240
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,14012,377,48788,20,12,1046746
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,32248,926,128373,41,24,1857574
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,31244,643,139801,45,17,979852
2025-01-01,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,29677,570,131336,27,13,1094330
2025-01-01,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7898,1239,66649,254,152,11152589
2025-01-01,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,19567,1628,177486,266,80,4284064
2025-01-01,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,19519,1306,140507,155,69,5313564
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8226,618,73989,72,36,3650648
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8008,402,71428,29,24,2560870
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,7946,388,51456,30,18,1925152
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,14497,866,136352,63,56,4322631
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12792,664,106684,64,41,3873020
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,11509,761,100983,80,51,3696320
